Spin-orbital antisymmetrized integrals <ij||kl> (MO basis)
Spin-orbital indices below are active-space local (0-based, contiguous).

0^ 1^ 0 1	|	-3.510993427015165
0^ 1^ 0 3	|	0.3344029793294523
0^ 1^ 0 5	|	-0.08831369640270552
0^ 1^ 0 11	|	-0.07817830575723894
0^ 1^ 1 0	|	3.510993427015165
0^ 1^ 1 2	|	-0.33440297932945245
0^ 1^ 1 4	|	0.0883136964027056
0^ 1^ 1 10	|	0.07817830575723904
0^ 1^ 2 1	|	0.33440297932945245
0^ 1^ 2 3	|	-0.0516726843114563
0^ 1^ 2 5	|	0.011955161702160039
0^ 1^ 2 11	|	0.013570517892129525
0^ 1^ 3 0	|	-0.3344029793294523
0^ 1^ 3 2	|	0.0516726843114563
0^ 1^ 3 4	|	-0.01195516170216004
0^ 1^ 3 10	|	-0.013570517892129534
0^ 1^ 4 1	|	-0.0883136964027056
0^ 1^ 4 3	|	0.01195516170216004
0^ 1^ 4 5	|	-0.01758756563694114
0^ 1^ 4 11	|	0.0082629820736882
0^ 1^ 5 0	|	0.08831369640270552
0^ 1^ 5 2	|	-0.011955161702160039
0^ 1^ 5 4	|	0.01758756563694114
0^ 1^ 5 10	|	-0.008262982073688198
0^ 1^ 6 7	|	-0.016864452997418972
0^ 1^ 7 6	|	0.016864452997418972
0^ 1^ 8 9	|	-0.016864452997418955
0^ 1^ 9 8	|	0.016864452997418955
0^ 1^ 10 1	|	-0.07817830575723904
0^ 1^ 10 3	|	0.013570517892129534
0^ 1^ 10 5	|	0.008262982073688198
0^ 1^ 10 11	|	-0.012340631661875497
0^ 1^ 11 0	|	0.07817830575723894
0^ 1^ 11 2	|	-0.013570517892129525
0^ 1^ 11 4	|	-0.0082629820736882
0^ 1^ 11 10	|	0.012340631661875497
0^ 2^ 0 2	|	-0.7613517419126111
0^ 2^ 0 4	|	0.07234816998848471
0^ 2^ 0 10	|	0.11989473845413887
0^ 2^ 2 0	|	0.7613517419126111
0^ 2^ 2 4	|	0.002944349549240482
0^ 2^ 2 10	|	-0.0030128541655382274
0^ 2^ 4 0	|	-0.07234816998848471
0^ 2^ 4 2	|	-0.002944349549240482
0^ 2^ 4 10	|	-0.001781871600793683
0^ 2^ 10 0	|	-0.11989473845413887
0^ 2^ 10 2	|	0.0030128541655382274
0^ 2^ 10 4	|	0.001781871600793683
0^ 3^ 0 1	|	0.3344029793294523
0^ 3^ 0 3	|	-0.8130244262240675
0^ 3^ 0 5	|	0.08430333169064476
0^ 3^ 0 11	|	0.1334652563462684
0^ 3^ 1 0	|	-0.3344029793294523
0^ 3^ 1 2	|	0.05167268431145633
0^ 3^ 1 4	|	-0.011955161702160043
0^ 3^ 1 10	|	-0.013570517892129536
0^ 3^ 2 1	|	-0.05167268431145633
0^ 3^ 2 3	|	0.012689671404031915
0^ 3^ 2 5	|	-0.0050351599114538455
0^ 3^ 2 11	|	-0.0022326277234282614
0^ 3^ 3 0	|	0.8130244262240675
0^ 3^ 3 2	|	-0.012689671404031915
0^ 3^ 3 4	|	0.007979509460694327
0^ 3^ 3 10	|	-0.0007802264421099661
0^ 3^ 4 1	|	0.011955161702160043
0^ 3^ 4 3	|	-0.007979509460694327
0^ 3^ 4 5	|	-0.01569946387176148
0^ 3^ 4 11	|	0.012167074068375134
0^ 3^ 5 0	|	-0.08430333169064476
0^ 3^ 5 2	|	0.0050351599114538455
0^ 3^ 5 4	|	0.01569946387176148
0^ 3^ 5 10	|	-0.013948945669168817
0^ 3^ 6 7	|	-0.020563004596123747
0^ 3^ 7 6	|	0.020563004596123747
0^ 3^ 8 9	|	-0.020563004596123726
0^ 3^ 9 8	|	0.020563004596123726
