0^ 1^ 0 1	|	-2.8898338778864345
0^ 1^ 0 3	|	0.209652352498551
0^ 1^ 0 5	|	0.16035130302919842
0^ 1^ 0 11	|	-0.09495422462279575
0^ 1^ 1 0	|	2.8898338778864345
0^ 1^ 1 2	|	-0.20965235249855063
0^ 1^ 1 4	|	-0.16035130302919814
0^ 1^ 1 10	|	0.09495422462279568
0^ 1^ 2 1	|	0.20965235249855063
0^ 1^ 2 3	|	-0.02630359077877566
0^ 1^ 2 5	|	-0.015235770304521357
0^ 1^ 2 11	|	0.014045468776184665
0^ 1^ 3 0	|	-0.209652352498551
0^ 1^ 3 2	|	0.02630359077877566
0^ 1^ 3 4	|	0.01523577030452135
0^ 1^ 3 10	|	-0.014045468776184691
0^ 1^ 4 1	|	0.16035130302919814
0^ 1^ 4 3	|	-0.01523577030452135
0^ 1^ 4 5	|	-0.020868262206285265
0^ 1^ 4 11	|	0.003807073652122808
0^ 1^ 5 0	|	-0.16035130302919842
0^ 1^ 5 2	|	0.015235770304521357
0^ 1^ 5 4	|	0.020868262206285265
0^ 1^ 5 10	|	-0.0038070736521228186
0^ 1^ 6 7	|	-0.00734544786271584
0^ 1^ 7 6	|	0.00734544786271584
0^ 1^ 8 9	|	-0.007345447862715831
0^ 1^ 9 8	|	0.007345447862715831
0^ 1^ 10 1	|	-0.09495422462279568
0^ 1^ 10 3	|	0.014045468776184691
0^ 1^ 10 5	|	0.0038070736521228186
0^ 1^ 10 11	|	-0.009108890060999637
0^ 1^ 11 0	|	0.09495422462279575
0^ 1^ 11 2	|	-0.014045468776184665
0^ 1^ 11 4	|	-0.003807073652122808
0^ 1^ 11 10	|	0.009108890060999637
0^ 2^ 0 2	|	-0.5610505623221447
0^ 2^ 0 4	|	-0.0477441962482125
0^ 2^ 0 10	|	0.12160977409059864
0^ 2^ 2 0	|	0.5610505623221447
0^ 2^ 2 4	|	-0.008152954353733075
0^ 2^ 2 10	|	-0.006508084699609514
0^ 2^ 4 0	|	0.0477441962482125
0^ 2^ 4 2	|	0.008152954353733075
0^ 2^ 4 10	|	-0.00019123831378634742
0^ 2^ 10 0	|	-0.12160977409059864
0^ 2^ 10 2	|	0.006508084699609514
0^ 2^ 10 4	|	0.00019123831378634742
0^ 3^ 0 1	|	0.20965235249855055
0^ 3^ 0 3	|	-0.5873541531009203
0^ 3^ 0 5	|	-0.06297996655273382
0^ 3^ 0 11	|	0.13565524286678332
0^ 3^ 1 0	|	-0.20965235249855055
0^ 3^ 1 2	|	0.02630359077877561
0^ 3^ 1 4	|	0.015235770304521314
0^ 3^ 1 10	|	-0.01404546877618467
0^ 3^ 2 1	|	-0.02630359077877561
0^ 3^ 2 3	|	-0.0008532323866015512
0^ 3^ 2 5	|	0.006308637784198463
0^ 3^ 2 11	|	-0.0012380167764778516
0^ 3^ 3 0	|	0.5873541531009203
0^ 3^ 3 2	|	0.0008532323866015512
0^ 3^ 3 4	|	-0.014461592137931537
0^ 3^ 3 10	|	-0.005270067923131663
0^ 3^ 4 1	|	-0.015235770304521314
0^ 3^ 4 3	|	0.014461592137931537
0^ 3^ 4 5	|	-0.004194148328016452
0^ 3^ 4 11	|	-0.005612651255784683
